MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
dtppokal,F,Unai Baigorri,ESP,NA,NA,NA,14.466,NA,NA,NA,NA,NA,NA,5.2,NA,NA
dtppokal,F,Kamiyama Haruto,JPN,NA,NA,NA,13.466,NA,NA,NA,NA,NA,NA,5.6,NA,NA
dtppokal,F,Curran Phillips,USA,NA,NA,NA,NA,15.566,NA,NA,NA,NA,NA,NA,6.9,NA
dtppokal,F,Julien Marechal,FRA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,5.3,NA
dtppokal,F,Shi Cong,CHN,NA,NA,NA,NA,13.7,13.6,NA,NA,NA,NA,NA,6,6.2
dtppokal,F,Matteo Levantesi,ITA,NA,NA,NA,NA,11.633,NA,NA,NA,NA,NA,NA,5.4,NA
dtppokal,F,Noah Kuavita,BEL,NA,NA,NA,NA,NA,14.066,NA,NA,NA,NA,NA,NA,6.4
dtppokal,F,Tsunogai Tomoharu,JPN,NA,NA,NA,NA,NA,13.133,NA,NA,NA,NA,NA,NA,6.2
dtppokal,F,Shane Wiskus,USA,NA,NA,NA,NA,NA,12.466,NA,NA,NA,NA,NA,NA,5.4
dtppokal,F,Andreas Toba,DEU,NA,NA,NA,NA,NA,11.966,NA,NA,NA,NA,NA,NA,5.7
