MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
asian_champs,NA,Lee Jangwon,KOR,13.833,NA,13.433,14.1,NA,41.366,NA,NA,NA,NA,NA,NA
asian_champs,NA,Thenuka Nawarathna,LKA,11.033,5.5,7.066,11.833,5.6,41.032,NA,NA,NA,NA,NA,NA
asian_champs,NA,Hur Woong,KOR,NA,13.333,NA,NA,12.266,38.865,NA,NA,NA,NA,NA,NA
asian_champs,NA,Khabibullo Ergashev,UZB,NA,13.5,11.866,NA,NA,38.732,NA,NA,NA,NA,NA,NA
asian_champs,NA,Trinh Hai Khang,VNM,13.6,NA,NA,14.366,NA,27.966,NA,NA,NA,NA,NA,NA
asian_champs,NA,Ng Chun Chen,MYS,NA,NA,NA,14.7,NA,27.7,NA,NA,NA,NA,NA,NA
asian_champs,NA,Rasuljon Abdurakhimov,UZB,NA,NA,NA,NA,12.8,27.5,NA,NA,NA,NA,NA,NA
asian_champs,NA,Liao Jialei,CHN,NA,12.5,NA,NA,13.833,26.333,NA,NA,NA,NA,NA,NA
asian_champs,NA,Muhammad Sharul Aimy,MYS,NA,10.833,NA,14.2,NA,25.033,NA,NA,NA,NA,NA,NA
asian_champs,NA,Pradeep Lakmal,LKA,NA,NA,10,NA,NA,21.2,NA,NA,NA,NA,NA,NA
asian_champs,NA,Abdulkarim Abdyllatif Almur,SAU,NA,10.5,NA,NA,9.466,19.966,NA,NA,NA,NA,NA,NA
asian_champs,NA,Jhon Romeo Santillan,PHL,NA,9.666,NA,NA,10.2,19.866,NA,NA,NA,NA,NA,NA
asian_champs,NA,Matthew Kapp,KGZ,7.733,NA,NA,NA,NA,18.533,NA,NA,NA,NA,NA,NA
asian_champs,NA,Nariman Kurbanov,KAZ,NA,15.666,NA,NA,NA,15.666,NA,NA,NA,NA,NA,NA
asian_champs,NA,Ahmad Abu Al Soud,JOR,NA,15.066,NA,NA,NA,15.066,NA,NA,NA,NA,NA,NA
asian_champs,NA,Ng Ka Ki,HKG,NA,NA,NA,14.733,NA,14.733,NA,NA,NA,NA,NA,NA
asian_champs,NA,Dang Ngoc Xuan Thien,VNM,NA,13.866,NA,NA,NA,13.866,NA,NA,NA,NA,NA,NA
asian_champs,NA,Ahmad Habeeb,JOR,NA,13.833,NA,NA,NA,13.833,NA,NA,NA,NA,NA,NA
asian_champs,NA,Ally Hamuda Abdullah,MYS,NA,NA,13.666,NA,NA,13.666,NA,NA,NA,NA,NA,NA
asian_champs,NA,Ahmad Salameh,JOR,NA,NA,NA,NA,12.8,12.8,NA,NA,NA,NA,NA,NA
asian_champs,NA,Al-Harith Rakan,QAT,NA,12.633,NA,NA,NA,12.633,NA,NA,NA,NA,NA,NA
asian_champs,NA,Hossein Nourishourak Chali,IRN,NA,12.5,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA
asian_champs,NA,Abdulaziz Salem Aljohani,SAU,12.333,NA,NA,NA,NA,12.333,NA,NA,NA,NA,NA,NA
asian_champs,NA,Nasser Mohammed Alsamiri,SAU,NA,NA,11.233,NA,NA,11.233,NA,NA,NA,NA,NA,NA
asian_champs,NA,Battur Batbaatar,MNG,NA,NA,NA,NA,9.466,9.466,NA,NA,NA,NA,NA,NA
asian_champs,NA,Kadnem Abdulwahab Alantaif,SAU,NA,8.566,NA,NA,NA,8.566,NA,NA,NA,NA,NA,NA
asian_champs,F,Carlos Yulo,PHL,14.933,NA,13.533,15.233,13.433,NA,6.6,NA,5.6,6,6.3,5.4
asian_champs,F,Milad Karimi,KAZ,14.6,13.366,NA,NA,15.033,NA,6.3,5.8,NA,NA,NA,6.6
asian_champs,F,Yang Yanzhi,CHN,14.2,NA,14.166,NA,NA,NA,6.1,NA,5.9,NA,NA,NA
asian_champs,F,John Ivan Cruz,PHL,13.966,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
asian_champs,F,Dmitriy Patanin,KAZ,13.866,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
asian_champs,F,Abdulaziz Mirvaliev,UZB,13.766,NA,NA,15.033,NA,NA,5.6,NA,NA,5.6,NA,NA
asian_champs,F,Utkirbek Juraev,UZB,13,NA,NA,NA,13.333,NA,5.4,NA,NA,NA,5.6,4.4
asian_champs,F,Erkhembayar Usukhbayar,MNG,12.733,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA
asian_champs,F,Nariman Kurbanov,KAZ,NA,15.6,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA
asian_champs,F,Abdulla Azimov,UZB,NA,14.633,NA,NA,13.366,NA,NA,6.1,NA,NA,NA,4.9
asian_champs,F,Ahmad Abu Al Soud,JOR,NA,14.633,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA
asian_champs,F,Dang Ngoc Xuan Thien,VNM,NA,14.533,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA
asian_champs,F,Tian Hao,CHN,NA,14.133,NA,NA,14.3,NA,NA,6,NA,NA,NA,6.3
asian_champs,F,Ahmad Habeeb,JOR,NA,13.833,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA
asian_champs,F,Yin Dehang,CHN,NA,12.7,14.2,NA,NA,NA,NA,6.4,5.8,NA,6.4,NA
asian_champs,F,Nguyen Van Khanh Phong,VNM,NA,NA,14.166,NA,NA,NA,NA,NA,5.9,NA,NA,NA
asian_champs,F,Lin Guan-Yi,TWN,NA,NA,14,NA,NA,NA,NA,NA,5.9,NA,NA,NA
asian_champs,F,Mohammadreza Khosronezhad,IRN,NA,NA,13.733,NA,NA,NA,NA,NA,5.6,NA,4.6,NA
asian_champs,F,Ally Hamuda Abdullah,MYS,NA,NA,13.233,NA,NA,NA,NA,NA,5.5,NA,NA,NA
asian_champs,F,Lee Jangwon,KOR,NA,NA,12.233,NA,NA,NA,NA,NA,5.3,NA,NA,NA
asian_champs,F,Muhammad Sharul Aimy,MYS,NA,NA,NA,14.5,NA,NA,NA,NA,NA,5.2,NA,NA
asian_champs,F,Miguel Besana,PHL,NA,NA,NA,14.6,NA,NA,NA,NA,NA,5.6,NA,NA
asian_champs,F,Moon Geonyong,KOR,NA,NA,NA,14.9,NA,NA,NA,NA,NA,5.6,NA,NA
asian_champs,F,Trinh Hai Khang,VNM,NA,NA,NA,13.966,NA,NA,NA,NA,NA,5.6,NA,NA
asian_champs,F,Ng Ka Ki,HKG,NA,NA,NA,13.966,NA,NA,NA,NA,NA,5.6,NA,NA
asian_champs,F,Ng Chun Chen,MYS,NA,NA,NA,13.266,NA,NA,NA,NA,NA,5.6,NA,NA
asian_champs,F,Rasuljon Abdurakhimov,UZB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA
asian_champs,F,Pak Song Hyok,PRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA
asian_champs,F,Xie Chenyi,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA
asian_champs,F,Van Vi Luong,VNM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA
asian_champs,F,Liao Jialei,CHN,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,NA,6.1
asian_champs,F,Kim Jaeho,KOR,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,5
asian_champs,F,Park Seungho,KOR,NA,NA,NA,NA,12.233,NA,NA,NA,NA,NA,NA,4.7
