MEET,NAME,FX,PH,SR,VT,PB,HB,AA,TEAM,ROUND,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
usa_nc2,Taylor Burkhart,12.55,13.2,13.8,14.5,14.15,13.95,82.15,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Landen Blixt,14.65,13.05,13,14.3,13.45,13.3,81.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Taylor Christopulos,13.65,11.65,12.9,14.05,13.2,13.3,78.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Joshua Karnes,12.95,12.55,13.6,13.65,14.45,12.3,79.5,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Samuel Phillips,13.25,12.5,13.5,13.8,13.5,12.45,79,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Caden Clinton,13.3,12.1,13.05,12.2,14.05,13.55,78.25,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Kiran Mandava,13.15,11.2,13.1,13.8,13.35,12.65,77.25,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,David Ramirez,12.55,13.05,12.85,14.15,13.45,12.25,78.3,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Dallas Hale,13.85,10.9,10.3,14.1,12.6,11.15,72.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Kai Uemura,12.8,10,13.05,13.35,13.7,12,74.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Erich Upton,12.9,11.5,11.3,13.5,13.25,12.6,75.05,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Tate Costa,12.8,12.2,12.4,13.65,13.5,12.85,77.4,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Ian Gunther,13.75,0,13.85,13.7,12.9,13.55,67.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Noah Newfeld,13.5,12.85,13.35,NA,13.45,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Crew Bold,13.25,NA,NA,NA,13.9,13.75,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Javier Alfonso,11.55,NA,14.35,NA,13.3,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Curran Phillips,NA,NA,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Stephen Nedoroscik,NA,14.6,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Alex Diab,NA,NA,14.65,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Patrick Hoopes,NA,14.3,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Brandon Dang,NA,14.4,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Fred Richard,14.7,13.45,13.8,14.2,15.05,14.4,85.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Brody Malone,13.75,13.45,14.25,14.6,14.75,14.3,85.1,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Shane Wiskus,14.35,13.55,13.95,14.4,14.5,13.55,84.3,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Paul Juda,14.6,14.05,13.8,14.2,14.05,13.45,84.15,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Asher Hong,14.35,12.8,14.45,14.35,14.65,13.1,83.7,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Yul Moldauer,14.2,13.1,13.85,14.5,15.15,12.9,83.7,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Cameron Bock,14.15,14,13.7,14,14.35,13.25,83.45,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Fuzzy Benas,13.95,13.45,13.45,14.15,14.45,13.65,83.1,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Donnell Whittenburg,13.65,12.35,14.15,13.7,14.1,13,80.95,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Colt Walker,12.7,13.25,13.65,14.2,14.85,11.95,80.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Jeremy Bischoff,13.05,13.35,13.7,13.75,12.45,13.6,79.9,USA,NA,NA,NA,NA,NA,NA,NA
