MEET,    NAME,                     TEAM,  FX_D, FX,     PH_D, PH,     SR_D, SR,     VT1_D, VT1,    VT2_D, VT2,    VT,     PB_D, PB,     HB_D, HB
"eur_Q", "Nicholas Tarca",         "ROM", 5.4,  13.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Luka van den Keybus",    "BEL", 5.5,  13.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Neofytos Kyriakou",      "CYP", 5.2,  13.566, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Agust Davidsson",        "ICE", 5.3,  13.566, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Nazar Chepurnyi",        "UKR", 5.3,  13.566, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "David Rumbutis",         "SWE", 4.8,  13.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Marios Georgiou",        "CYP", 5.4,  13.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Akseli Karsikas",        "FIN", 5.2,  13.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Luca Murabito",          "SWI", 6.0,  13.500, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Valgard Reinhardsson",   "ICE", 5.3,  13.466, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Filip Lidbeck",          "SWE", 5.7,  13.466, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Mehmet Ayberk Kosak",    "TUR", 5.5,  13.433, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Benedek Tomcsanyi",      "HUN", 5.4,  13.433, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Ivan Tikhonov",          "AZE", 5.4,  13.433, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Victor Martinez",        "BEL", 5.7,  13.433, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Ricardo Rudy",           "OST", 5.0,  13.400, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Gagik Khachikyan",       "ARM", 5.1,  13.366, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Gabriel Eichhorn",       "GER", 5.3,  13.366, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Uri Zeidel",             "ISR", 5.4,  13.366, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Sofus Heggemsnes",       "NOR", 5.1,  13.333, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Martijn de Veer",        "NDL", 5.5,  13.333, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Daniel Fox",             "IRE", 4.8,  13.300, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Kacper Garnczarek",      "POL", 5.3,  13.300, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Petar Vefic",            "SRB", 5.6,  13.300, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Daniel Bago",            "CZE", 4.9,  13.266, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Daniel Trifonov",        "BUL", 5.1,  13.266, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Taha Serhani",           "SWI", 5.5,  13.266, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Antonios Tantalidis",    "GRE", 5.5,  13.266, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Ilia Liubimov",          "ISR", 5.0,  13.233, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Nils Dunkel",            "GER", 5.1,  13.233, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Luca Giubellini",        "SWI", 5.3,  13.166, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Carlo Hörr",             "GER", 5.2,  13.133, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Radomyr Stelmakh",       "UKR", 5.7,  13.100, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Ricards Plate",          "LAT", 5.2,  13.066, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Peder Skogvang",         "NOR", 5.9,  13.033, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Bozhidar Zlatanov",      "BUL", 4.8,  13.000, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Pavel Gulidov",          "ISR", 5.2,  13.000, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Krisztian Balazs",       "HUN", 5.0,  12.966, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Emilian Neagu",          "ROM", 5.0,  12.933, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Mansum Safarov",         "AZE", 5.3,  12.933, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Christian Baumann",      "SWI", 5.3,  12.900, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Casimir Schmidt",        "NDL", 5.5,  12.900, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Lorenzo Casali",         "ITA", 5.8,  12.900, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Daniel Radovesnicky",    "CZE", 4.4,  12.866, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Nicolas Ivkic",          "OST", 5.1,  12.833, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Oliver Kasala",          "SVK", 4.8,  12.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Murad Agharzayev",       "AZE", 5.3,  12.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Dimitar Dimitrov",       "BUL", 5.7,  12.700, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Georgios Angonas",       "CYP", 4.2,  12.666, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Marco Lodadio",          "ITA", 4.9,  12.666, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Axel Breche",            "FRA", 5.0,  12.666, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Marcus Stenberg",        "SWE", 5.0,  12.633, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Levan Skhiladze",        "GEO", 4.4,  12.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Harald Wibye",           "NOR", 5.0,  12.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Erik Baghdasaryan",      "ARM", 3.7,  12.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Rick Jacobs",            "NDL", 5.1,  12.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Dagur Olafsson",         "ICE", 4.4,  12.500, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Mert Efe Kilicer",       "TUR", 4.8,  12.500, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Joe Fraser",             "GBR", 6.0,  12.500, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Martin Pospisil",        "CZE", 4.4,  12.466, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Amine Abaidi",           "NDL", 5.8,  12.433, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
