MEET,      NAME,                     Nation,          FX_D, FX,     PH_D, PH,     SR_D, SR,     VT1_D, VT1,    VT2_D, VT2,    VT,     PB_D, PB,     HB_D, HB
"eur_evF", "Cameron-Lie Bernard",    "France",        NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     6.3,  14.500, NA,   NA
"eur_evF", "James Hall",             "Great Britain", NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     6.1,  14.366, NA,   NA
"eur_evF", "Nazar Chepurnyi",        "Ukraine",       NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     6.3,  13.866, NA,   NA
"eur_evF", "Mario Macchiati",        "Italy",         NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     5.7,  13.300, NA,   NA
"eur_evF", "Thierno Diallo",         "Spain",         NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     5.9,  12.900, NA,   NA
"eur_evF", "Illia Kovtun",           "Ukraine",       NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     5.9,  14.600
"eur_evF", "Robert Tvorogal",        "Lithuania",     NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     5.8,  14.566
"eur_evF", "Marios Georgiou",        "Cyprus",        NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     5.9,  14.366
"eur_evF", "Noe Seifert",            "Switzerland",   NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     6.0,  14.266
"eur_evF", "Alexander Myakinin",     "Israel",        NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     5.9,  14.100
"eur_evF", "Tin Srbic",              "Croatia",       NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     5.5,  14.066
"eur_evF", "Yumin Abbadini",         "Italy",         NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     6.1,  13.833
"eur_evF", "Joel Plata",             "Spain",         NA,   NA,     NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     5.9,  13.366
