meet, NAME,                  FX,     PH,     SR,     VT,     PB,     HB,     AA
"nc2", "Fred Richard",        14.000, 13.600, 13.850, 14.200, 14.800, 14.450, 84.900
"nc2", "Brody Malone",        14.350, 13.950, 14.300, 14.700, 14.750, 13.150, 85.200
"nc2", "Shane Wiskus",        14.600, 13.700, 14.150, 14.500, 14.500, 13.900, 85.350
"nc2", "Paul Juda",           14.250, 14.250, 13.850, 14.700, 13.850, 13.800, 84.700
"nc2", "Asher Hong",          14.150, 11.750, 14.700, 15.250, 14.900, 13.200, 83.950
"nc2", "Fuzzy Benas",         14.100, 13.700, 13.650, 13.900, 13.850, 13.700, 82.900
"nc2", "Donnell Whittenburg", 14.850, 13.050, 14.600, 14.900, 14.200, 13.150, 84.750
"nc2", "Cameron Bock",        13.650, 13.900, 13.700, 12.950, 14.200, 13.750, 82.150
"nc2", "Yul Moldauer",        13.700, 12.900, 13.800, 14.100, 14.100, 13.000, 81.600
"nc2", "Colt Walker",         13.850, 13.900, 13.700, 14.200, 14.800, 12.150, 82.600
"nc2", "Jeremy Bischoff",     13.650, 13.400, 13.300, 14.000, 14.100, 12.100, 80.550
"nc2", "Kai Uemura",          12.950, 13.000, 12.950, 13.750, 13.750, 13.150, 79.550
"nc2", "Kiran Mandava",       13.150, 13.050, 12.950, 13.900, 13.800, 13.100, 79.950
"nc2", "Tate Costa",          13.600, 10.200, 12.600, 13.500, 13.150, 13.600, 76.650
"nc2", "Khoi Young",          14.450, 14.250, 0.000,  15.100, 14.550, 13.250, 71.600
"nc2", "Curran Phillips",     13.550, NA,     NA,     13.100, 15.650, 14.100, NA
"nc2", "Joshua Karnes",       NA,     12.950, NA,     NA,     14.400, 13.550, NA
"nc2", "Patrick Hoopes",      NA,     15.000, NA,     NA,     NA,     NA,     NA
"nc2", "Stephen Nedoroscik",  NA,     14.850, NA,     NA,     NA,     NA,     NA
"nc2", "Alex Diab",           NA,     NA,     14.450, NA,     NA,     NA,     NA
