team,names,total
V524,NA,256.5125
V154,NA,256.5
V49,NA,256.5
V51,NA,256.5
V52,NA,256.5
V53,NA,256.5
V54,NA,256.5
V372,NA,256.49583333333334
V650,NA,256.49583333333334
V1572,NA,256.4875
V508,NA,256.4875
V315,NA,256.475
V4203,NA,256.475
V543,NA,256.475
V405,NA,256.47083333333336
V4269,NA,256.47083333333336
V281,NA,256.4708333333333
V620,NA,256.4625
V931,NA,256.45833333333337
V262,NA,256.45
V399,NA,256.45
V4828,NA,256.4458333333333
V1042,NA,256.4375
V448,NA,256.4375
V951,NA,256.4375
V1600,NA,256.43333333333334
V1206,NA,256.425
V1437,NA,256.425
V465,NA,256.425
V551,NA,256.425
V846,NA,256.425
V1664,NA,256.4125
V212,NA,256.4125
V221,NA,256.4125
V222,NA,256.4125
V223,NA,256.4125
V224,NA,256.4125
V2912,NA,256.4125
V298,NA,256.4125
V383,NA,256.4125
V1740,NA,256.40833333333336
V1248,NA,256.4
V259,NA,256.4
V330,NA,256.4
V4242,NA,256.4
V533,NA,256.4
V949,NA,256.4
V1690,NA,256.3958333333333
V218,NA,256.3958333333333
V233,NA,256.3958333333333
V239,NA,256.3958333333333
V244,NA,256.3958333333333
V248,NA,256.3958333333333
V268,NA,256.3958333333333
V844,NA,256.38750000000005
V364,NA,256.375
V4801,NA,256.375
V1012,NA,256.3625
V1103,NA,256.3625
V1613,NA,256.3625
V200,NA,256.3625
V220,NA,256.3625
V241,NA,256.3625
V246,NA,256.3625
V250,NA,256.3625
V3967,NA,256.3625
V4764,NA,256.3625
V514,NA,256.3625
V519,NA,256.3625
V523,NA,256.3625
V905,NA,256.3625
V3916,NA,256.35833333333335
V1136,NA,256.35
V1141,NA,256.35
V1155,NA,256.35
V292,NA,256.35
V649,NA,256.34583333333336
V695,NA,256.3458333333333
V257,NA,256.3375
V1064,NA,256.3333333333333
V593,NA,256.325
V4268,NA,256.3208333333333
V1510,NA,256.3125
V2225,NA,256.3125
V285,NA,256.3125
V4583,NA,256.3125
V828,NA,256.3125
V1040,NA,256.30833333333334
V1806,NA,256.30833333333334
V36,NA,256.3
V38,NA,256.3
V387,NA,256.3
V39,NA,256.3
V40,NA,256.3
V41,NA,256.3
V101,NA,256.2875
V102,NA,256.2875
V103,NA,256.2875
V104,NA,256.2875
V1041,NA,256.2875
V1602,NA,256.2875
V2197,NA,256.2875
V2589,NA,256.2875
V3906,NA,256.2875
V431,NA,256.2875
V455,NA,256.2875
V457,NA,256.2875
V458,NA,256.2875
V459,NA,256.2875
V460,NA,256.2875
V60,NA,256.2875
V823,NA,256.2875
V837,NA,256.2875
V92,NA,256.2875
V666,NA,256.28333333333336
V1599,NA,256.2833333333333
V1662,NA,256.2833333333333
V1436,NA,256.275
V1527,NA,256.275
V4114,NA,256.275
V4308,NA,256.275
V550,NA,256.275
V596,NA,256.275
V113,NA,256.2708333333333
V119,NA,256.2708333333333
V124,NA,256.2708333333333
V128,NA,256.2708333333333
V4191,NA,256.2708333333333
V621,NA,256.2708333333333
V98,NA,256.2708333333333
V1132,NA,256.2625
V1663,NA,256.2625
V2523,NA,256.2625
V273,NA,256.2625
V3891,NA,256.2625
V1713,NA,256.2583333333333
V1247,NA,256.25
V142,NA,256.25
V144,NA,256.25
V145,NA,256.25
V146,NA,256.25
V147,NA,256.25
V1704,NA,256.25
V308,NA,256.25
V4241,NA,256.25
V1066,NA,256.2375
V2159,NA,256.2375
V2561,NA,256.2375
V375,NA,256.2375
V4023,NA,256.2375
V4830,NA,256.2375
V665,NA,256.2375
V817,NA,256.2375
V938,NA,256.2375
V868,NA,256.23333333333335
V158,NA,256.225
V1606,NA,256.2125
V1739,NA,256.2125
V219,NA,256.2125
V240,NA,256.2125
V245,NA,256.2125
V249,NA,256.2125
V3996,NA,256.2125
V416,NA,256.2125
V4763,NA,256.2125
V1154,NA,256.2
V3905,NA,256.2
V1180,NA,256.1958333333333
V4762,NA,256.1958333333333
V694,NA,256.1958333333333
V260,NA,256.1875
V3102,NA,256.1875
V1246,NA,256.18333333333334
V1515,NA,256.175
V183,NA,256.175
V191,NA,256.175
V22,NA,256.175
V24,NA,256.175
V25,NA,256.175
V26,NA,256.175
V27,NA,256.175
V280,NA,256.175
V3910,NA,256.175
V4215,NA,256.175
V592,NA,256.175
V5973,NA,256.175
V606,NA,256.175
V1509,NA,256.1625
V1725,NA,256.1625
V2119,NA,256.1625
V4101,NA,256.1625
V4582,NA,256.1625
V4756,NA,256.1625
V482,NA,256.1625
V447,NA,256.15833333333336
V549,NA,256.15833333333336
V1039,NA,256.1583333333333
V304,NA,256.1583333333333
V591,NA,256.1583333333333
V1058,NA,256.15
V967,NA,256.15
V1624,NA,256.1458333333333
V2196,NA,256.1375
V4192,NA,256.1375
V430,NA,256.1375
V59,NA,256.1375
V819,NA,256.1375
V848,NA,256.1375
V862,NA,256.1375
V891,NA,256.1375
V1153,NA,256.1333333333333
V1770,NA,256.125
V198,NA,256.125
V284,NA,256.125
V3915,NA,256.125
V4113,NA,256.125
V4307,NA,256.125
V975,NA,256.125
V1571,NA,256.12083333333334
V4190,NA,256.12083333333334
V1707,NA,256.1125
V2522,NA,256.1125
V3890,NA,256.1125
V4126,NA,256.1125
V4267,NA,256.1125
V486,NA,256.1125
V548,NA,256.1125
V1995,NA,256.10833333333335
V3928,NA,256.10833333333335
V1703,NA,256.1
V325,NA,256.1
V936,NA,256.1
V842,NA,256.08750000000003
V1065,NA,256.0875
V112,NA,256.0875
V118,NA,256.0875
V123,NA,256.0875
V127,NA,256.0875
V2158,NA,256.0875
V2560,NA,256.0875
V4022,NA,256.0875
V4164,NA,256.0875
V4633,NA,256.0875
V933,NA,256.0875
V97,NA,256.0875
V4751,NA,256.0833333333333
V648,NA,256.075
V1102,NA,256.0708333333333
V4202,NA,256.0708333333333
V539,NA,256.0708333333333
V1165,NA,256.0625
V1245,NA,256.0625
V1512,NA,256.0625
V156,NA,256.0625
V159,NA,256.0625
V160,NA,256.0625
V161,NA,256.0625
V1767,NA,256.0625
V415,NA,256.0625
V4785,NA,256.0625
V646,NA,256.05833333333334
V1046,NA,256.05
V1179,NA,256.05
V1618,NA,256.05
V2627,NA,256.05
V267,NA,256.05
V3892,NA,256.05
V3904,NA,256.05
V4102,NA,256.05
V2911,NA,256.04583333333335
V1038,NA,256.0375
V1701,NA,256.0375
V202,NA,256.0375
V204,NA,256.0375
V205,NA,256.0375
V206,NA,256.0375
V207,NA,256.0375
V3101,NA,256.0375
V3951,NA,256.0375
V4196,NA,256.0375
V4497,NA,256.0375
V4674,NA,256.0375
V495,NA,256.0375
V496,NA,256.0375
V497,NA,256.0375
V498,NA,256.0375
V598,NA,256.0375
V71,NA,256.0375
V3966,NA,256.03333333333336
V1533,NA,256.0333333333333
V1612,NA,256.0333333333333
V314,NA,256.0333333333333
V4214,NA,256.025
V5972,NA,256.025
V605,NA,256.025
V1723,NA,256.0208333333333
V1129,NA,256.0125
V1724,NA,256.0125
V2118,NA,256.0125
V232,NA,256.0125
V2515,NA,256.0125
V340,NA,256.0125
V394,NA,256.0125
V4868,NA,256.0125
V552,NA,256.0125
V561,NA,256.0125
V562,NA,256.0125
V563,NA,256.0125
V564,NA,256.0125
V61,NA,256.0125
V63,NA,256.0125
V64,NA,256.0125
V65,NA,256.0125
V66,NA,256.0125
V704,NA,256.0125
V955,NA,256.0125
V2588,NA,256.0083333333333
V492,NA,256.0083333333333
V1174,NA,256
V1498,NA,256
V179,NA,256
V3908,NA,256
