MEET,      NAME,                 FX,     PH,     SR,     VT,     PB,     HB,     AA,     Total
"jpn_aj2", "Hashimoto Daiki",    15.000, 15.133, 14.166, 15.100, 14.766, 13.800, 87.965, 176.164
"jpn_aj2", "Oka Shinnosuke",     14.533, 13.633, 14.466, 14.333, 15.200, 13.933, 86.098, 172.264
"jpn_aj2", "Kaya Kazuma",        14.000, 14.700, 14.133, 14.133, 14.766, 14.000, 85.732, 171.596
"jpn_aj2", "Sugino Takaaki",     14.000, 15.000, 13.133, 14.800, 14.100, 15.100, 86.133, 170.498
"jpn_aj2", "Doi Ryosuke",        14.200, 14.166, 13.333, 14.800, 14.600, 13.100, 84.199, 169.797
"jpn_aj2", "Tanaka Yusuke",      13.700, 13.466, 13.700, 14.033, 14.966, 14.933, 84.798, 169.764
"jpn_aj2", "Matsumi Kazuki",     14.433, 13.900, 13.833, 14.300, 14.900, 14.133, 85.499, 169.098
"jpn_aj2", "Miwa Teppei",        13.966, 13.600, 13.633, 14.900, 15.233, 13.533, 84.865, 169.063
"jpn_aj2", "Kawakami Shohei",    14.100, 13.766, 13.400, 14.533, 14.833, 14.533, 85.165, 168.863
"jpn_aj2", "Hasegawa Tsuyoshi",  13.966, 14.400, 13.700, 13.833, 15.000, 12.700, 83.599, 168.730
"jpn_aj2", "Kato Yuto",          13.766, 14.500, 13.766, 14.566, 14.600, 13.100, 84.298, 168.297
"jpn_aj2", "Tanida Masaharu",    14.366, 13.766, 13.566, 14.733, 14.666, 13.800, 84.897, 168.261
"jpn_aj2", "Fujimaki Shunpei",   13.533, 14.266, 13.866, 14.400, 13.900, 14.133, 84.098, 167.929
"jpn_aj2", "Tsunogai Tomoharu",  13.933, 14.133, 12.966, 14.466, 13.566, 13.000, 82.064, 167.129
"jpn_aj2", "Tanigawa Wataru",    14.200, 13.333, 14.400, 14.800, 15.100, 12.233, 84.066, 167.064
"jpn_aj2", "Tachibana Shiga",    14.066, 13.866, 13.466, 14.466, 14.533, 13.466, 83.863, 166.863
"jpn_aj2", "Ueyama Rentaro",     14.200, 13.566, 14.233, 14.666, 13.133, 13.133, 82.931, 166.362
"jpn_aj2", "Sasaki Fumiya",      14.033, 14.100, 13.033, 14.933, 14.366, 13.133, 83.598, 166.296
"jpn_aj2", "Haruki Minori",      13.900, 13.200, 14.500, 14.666, 13.933, 12.633, 82.832, 165.497
"jpn_aj2", "Aoki Shota",         14.600, 12.933, 13.766, 14.333, 14.166, 12.466, 82.264, 164.961
"jpn_aj2", "Kitazono Takeru",    13.900, 13.800, 13.633, 13.500, 13.566, 14.200, 81.931, 164.530
"jpn_aj2", "Tanabe Yui",         14.200, 14.366, 13.366, 14.266, 14.200, 11.466, 81.864, 164.529
"jpn_aj2", "Yunoki Kentaro",     13.533, 12.266, 13.833, 14.400, 13.633, 13.766, 81.431, 164.529
"jpn_aj2", "Kaneda Kiichi",      14.166, 12.400, 14.866, 14.133, 14.133, 12.933, 82.631, 164.496
"jpn_aj2", "Fujio Takumi",       13.766, 14.100, 13.000, 14.433, 12.966, 14.000, 82.265, 164.163
"jpn_aj2", "Kondo Mamoru",       13.466, 14.233, 12.833, 14.233, 13.100, 13.933, 81.798, 163.563
"jpn_aj2", "Tsumura Ryota",      13.833, 15.033, 13.066, 14.300, 13.533, 11.766, 81.531, 163.430
"jpn_aj2", "Ishizawa Hiroto",    13.333, 14.300, 13.066, 13.533, 14.033, 12.533, 80.798, 163.296
"jpn_aj2", "Hirano Shunsuke",    13.000, 13.800, 13.633, 13.866, 12.900, 12.766, 79.965, 161.863
"jpn_aj2", "Kitamura Fumiya",    13.233, 10.066, 13.500, 13.700, 14.300, 13.766, 78.565, 160.364
"jpn_aj2", "Chiba Kenta",        14.166, NA,     NA,     NA,     14.500, NA,     28.666, 109.730
"jpn_aj2", "Tanigawa Kakeru",    14.000, NA,     NA,     NA,     13.700, NA,     27.700, 107.399
"jpn_aj2", "Sugimoto Kaito",     NA,     NA,     NA,     NA,     15.100, NA,     15.100, 96.498
"jpn_aj2", "Maeda Koki",         NA,     NA,     NA,     NA,     14.500, NA,     14.500, 95.232
"jpn_aj2", "Kamoto Yuya",        NA,     NA,     14.633, NA,     NA,     NA,     14.633, 94.964
"jpn_aj2", "Hidaka Daiki",       NA,     NA,     NA,     NA,     NA,     13.833, 13.833, 94.897
"jpn_aj2", "Ueda NAoki",         NA,     NA,     NA,     NA,     NA,     13.966, 13.966, 94.832
"jpn_aj2", "Takahashi Kazuya",   NA,     NA,     14.633, NA,     NA,     NA,     14.633, 94.465
"jpn_aj2", "Nagayoshi Yu",       NA,     13.833, NA,     NA,     NA,     NA,     13.833, 94.132
"jpn_aj2", "Sawamoto Ryuhei",    NA,     13.666, NA,     NA,     NA,     NA,     13.666, 94.032
"jpn_aj2", "Tanabe Soichiro",    NA,     NA,     14.200, NA,     NA,     NA,     14.200, 93.598
"jpn_aj2", "Ebisu Yota",         NA,     NA,     NA,     NA,     NA,     13.966, 13.966, 93.331
"jpn_aj2", "Kobata Rensei",      NA,     NA,     NA,     NA,     NA,     12.466, 12.466, 93.065
"jpn_aj2", "Kabeya Hinata",      NA,     NA,     NA,     14.866, NA,     NA,     14.866, 93.032
"jpn_aj2", "Uchida Hayato",      13.933, NA,     NA,     NA,     NA,     NA,     13.933, 92.464
"jpn_aj2", "Nagasaki Shuto",     NA,     14.533, NA,     NA,     NA,     NA,     14.533, 91.864
"jpn_aj2", "Iwasawa Shoei",      NA,     NA,     NA,     14.966, NA,     NA,     14.966, 44.099
"jpn_aj2", "Nakayama Rei",       NA,     NA,     NA,     NA,     14.700, NA,     14.700, 42.499
"jpn_aj2", "Minami Kazuki",      14.066, NA,     NA,     NA,     NA,     NA,     14.066, 41.398
"jpn_aj2", "Hayasaka Akimune",   NA,     NA,     NA,     15.066, NA,     NA,     15.066, 29.899
"jpn_aj2", "Nizeki Aisho",       NA,     NA,     NA,     15.033, NA,     NA,     15.033, 29.866
"jpn_aj2", "Ono Ryoki",          NA,     NA,     NA,     14.966, NA,     NA,     14.966, 29.866
"jpn_aj2", "Banri Iwatsuki",     NA,     NA,     NA,     NA,     14.666, NA,     14.666, 29.532
"jpn_aj2", "Asayama Yudai",      NA,     14.700, NA,     NA,     NA,     NA,     14.700, 29.433
"jpn_aj2", "Ueda Yuta",          NA,     NA,     14.666, NA,     NA,     NA,     14.666, 29.199
"jpn_aj2", "Maeda Fusuke",       NA,     NA,     NA,     NA,     NA,     14.300, 14.300, 28.933
