Night, NAME,             FX,     PH,     SR,     VT,     PB,     HB,     AA
1,     "Nizeki Aisho",      NA,     NA,     NA,     14.733, NA,     NA,     14.733
1,     "Kamoto Yuya",       NA,     NA,     14.533, NA,     NA,     NA,     14.533
1,     "Ueda Naoki",        NA,     NA,     NA,     NA,     NA,     14.400, 14.400
1,     "Ueda Yuta",         NA,     NA,     14.366, NA,     NA,     NA,     14.366
1,     "Maeda Koki",        NA,     NA,     NA,     NA,     14.300, NA,     14.300
1,     "Kasaoka Yoshiyuki", NA,     NA,     14.266, NA,     NA,     NA,     14.266
1,     "Hiramatsu Koga",    14.233, NA,     NA,     NA,     NA,     NA,     14.233
1,     "Sawamoto Ryuhei",   NA,     14.133, NA,     NA,     NA,     NA,     14.133
1,     "Hayasaka Akimune",  NA,     NA,     NA,     14.133, NA,     NA,     14.133
1,     "Nagasaki Shuto",    NA,     14.100, NA,     NA,     NA,     NA,     14.100
1,     "Nagayoshi Yu",      NA,     14.100, NA,     NA,     NA,     NA,     14.100
1,     "Asayama Yudai",     NA,     13.933, NA,     NA,     NA,     NA,     13.933
1,     "Tanabe Soichiro",   NA,     NA,     13.933, NA,     NA,     NA,     13.933
1,     "Nakayama Rei",      NA,     NA,     NA,     NA,     13.933, NA,     13.933
1,     "Minami Kazuki",     13.866, NA,     NA,     NA,     NA,     NA,     13.866
1,     "Kudo Yuya",         NA,     13.866, NA,     NA,     NA,     NA,     13.866
1,     "Hidaka Daiki",      NA,     NA,     NA,     NA,     NA,     13.866, 13.866
1,     "Kobata Rensei",     NA,     NA,     NA,     NA,     NA,     13.566, 13.566
1,     "Uchida Hayato",     13.533, NA,     NA,     NA,     NA,     NA,     13.533
1,     "Fujino Yunoshin",   13.500, NA,     NA,     NA,     NA,     NA,     13.500
1,     "Sugimoto Kaito",    NA,     NA,     NA,     NA,     13.200, NA,     13.200
1,     "Aoki Ryuto",        NA,     NA,     NA,     NA,     NA,     12.900, 12.900
1,     "Yamasaki Kyota",    NA,     NA,     12.700, NA,     NA,     NA,     12.700
1,     "Sunaga Koki",       NA,     11.366, NA,     NA,     NA,     NA,     11.366
1,     "Ebisu Yota",        NA,     NA,     NA,     NA,     NA,     9.533,  9.533
